sample,platform,type,num,recall,precision,F1
HG002,revio,SNV,2433,0.993013,0.999174,0.996084
HG003,revio,SNV,2113,0.987222,0.993343,0.990273
HG004,revio,SNV,2393,0.999164,0.998748,0.998956
HG005,revio,SNV,3028,1,0.99967,0.999835
HG002,revio,indel,177,0.960452,0.977273,0.968789
HG003,revio,indel,182,0.994505,1,0.997245
HG004,revio,indel,183,0.994536,0.989305,0.991913
HG005,revio,indel,238,0.97479, 0.991701,0.983173
HG002,promethion,SNV,2433,0.97164,0.992815,0.982113
HG003,promethion,SNV,2113,0.952201,0.964785,0.958452
HG004,promethion,SNV,2393, 0.976598,0.985169,0.980865
HG005,promethion,SNV,3028,0.993395,0.994688,0.994041
HG002,promethion,indel,177,0.864407,0.928177,0.895157
HG003,promethion,indel,182,0.857143,0.934783,0.894281
HG004,promethion,indel,183,0.885246,0.956989,0.919721
HG005,promethion,indel,238,0.878151,0.924303,0.900636