sample,platform,median_read_length
HG002,revio,3964
HG003,revio,3887
HG004,revio,3978
HG005,revio,4249
HG01106,revio,4180
HG01258,revio,4348
HG01928,revio,4371
HG02055,revio,4163
HG02630,revio,4389
HG03492,revio,3634
HG03579,revio,4247
NA19240,revio,3895
NA20129,revio,3971
NA21309,revio,4089
NA24694,revio,4320
NA24695,revio,4203
HG01891,revio,5225
IHW09021,revio,3884
IHW09049,revio,3638
IHW09071,revio,4199
IHW09117,revio,3618
IHW09118,revio,3610
IHW09122,revio,3909
IHW09125,revio,3683
IHW09175,revio,3911
IHW09198,revio,4082
IHW09200,revio,3677
IHW09224,revio,3502
IHW09245,revio,3282
IHW09251,revio,3616
IHW09359,revio,3623
IHW09364,revio,4322
IHW09409,revio,3602